date,sentiment_mean,sentiment_std,news_count,sentiment_confidence,negative_sentiment,neutral_sentiment,positive_sentiment
2025-11-06,1.7727272727272727,0.4289320272288885,22,0.8016605,0.025299974,0.34048057,0.63421947
2025-11-07,1.5769230769230769,0.5777942140988899,26,0.7407981,0.0457943,0.35596785,0.5982379
2025-11-08,2.0,0.0,2,0.90509903,0.025356751,0.069544226,0.90509903
