open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2024-01-01 00:00:00,42283.58,42554.57,42261.02,42475.23,1271.68108,53957248.973789,47134,682.57581,28957416.819645,0
2024-01-01 01:00:00,42475.23,42775.0,42431.65,42613.56,1196.37856,50984893.3481416,50396,712.32227,30355645.3482764,0
2024-01-01 02:00:00,42613.57,42638.41,42500.0,42581.1,685.2198,29167377.9732375,29863,288.98864,12301017.299762,0
2024-01-01 03:00:00,42581.09,42586.64,42230.08,42330.49,794.80391,33709050.2741136,38620,356.37209,15112996.3758499,0
2024-01-01 04:00:00,42330.5,42399.99,42209.46,42399.99,715.4176,30271621.000739,36038,371.12012,15703618.9319853,0
2024-01-01 05:00:00,42399.98,42406.0,42180.77,42234.01,736.53152,31159533.4764102,32200,340.69312,14414594.8709419,0
2024-01-01 06:00:00,42234.01,42424.82,42208.68,42396.69,601.3725,25454115.8447492,32653,348.7351,14759685.2542202,0
2024-01-01 07:00:00,42396.69,42500.0,42396.68,42492.46,653.67718,27757929.5826532,27661,325.24438,13809558.5581487,0
2024-01-01 08:00:00,42492.46,42556.5,42452.58,42549.99,427.19365,18158032.0713477,25046,202.6665,8614418.4233219,0
2024-01-01 09:00:00,42550.0,42699.32,42537.18,42649.69,879.62491,37495909.1519946,39685,460.83221,19643796.8180602,0
2024-01-01 10:00:00,42649.69,42749.36,42628.0,42691.1,856.81851,36575404.2277785,32952,458.26507,19562257.2900065,0
2024-01-01 11:00:00,42691.1,42762.39,42605.21,42690.2,785.16567,33516541.8167861,39801,401.49317,17138999.1008268,0
2024-01-01 12:00:00,42690.21,42780.0,42611.45,42648.38,785.52851,33542689.8029634,35778,363.27898,15513372.6294569,0
2024-01-01 13:00:00,42648.37,42748.0,42612.76,42715.54,497.2024,21230655.2580876,29662,252.80525,10794600.800384,0
2024-01-01 14:00:00,42715.54,42715.55,42580.0,42612.24,711.01152,30312550.0545163,35688,369.47765,15750630.3780059,0
2024-01-01 15:00:00,42612.24,42847.07,42586.51,42783.05,942.70163,40272827.0639329,47628,510.78905,21818909.6236608,0
2024-01-01 16:00:00,42783.05,42856.0,42664.42,42725.15,918.71056,39292588.8194273,39979,449.47603,19222594.9405082,0
2024-01-01 17:00:00,42725.15,42824.9,42704.42,42812.7,677.33678,28962179.5203376,29871,329.97146,14108987.8934044,0
2024-01-01 18:00:00,42812.71,43208.86,42812.7,43111.1,2143.30897,92299025.1971326,93970,1193.23559,51377573.0698471,0
2024-01-01 19:00:00,43111.1,43550.0,43103.64,43517.99,1947.61533,84416763.6540515,78415,1043.766,45242850.5273276,0
2024-01-01 20:00:00,43517.98,43829.99,43510.71,43687.86,2905.07295,126914170.3804287,88205,1586.93352,69332665.633418,0
2024-01-01 21:00:00,43687.85,43792.59,43480.76,43619.21,1541.59126,67281632.034903,48994,737.28182,32173665.2965155,0
2024-01-01 22:00:00,43619.22,43661.1,43361.6,43529.93,1024.36372,44554969.9325888,39588,482.2796,20973587.992568,0
2024-01-01 23:00:00,43529.94,44184.1,43529.93,44179.55,3475.97051,152707972.5678915,114796,2063.12837,90668650.6843782,0
