open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2025-11-01 00:00:00,109608.01,109621.62,109608.0,109616.35,5.65926,620327.3496522,1005,3.8174,418426.0156014,0
2025-11-01 00:01:00,109616.34,109639.64,109550.46,109550.47,47.19536,5172298.3068773,2016,1.86014,203897.0814781,0
2025-11-01 00:02:00,109550.46,109550.46,109470.92,109470.93,10.29554,1127423.0318236,2208,2.98846,327264.8761794,0
2025-11-01 00:03:00,109470.92,109476.12,109447.0,109447.0,39.15662,4286187.8546935,2785,2.48303,271802.5589882,0
2025-11-01 00:04:00,109447.0,109457.94,109441.26,109444.44,4.47815,490126.7701813,1443,1.63222,178641.7114442,0
2025-11-01 00:05:00,109444.44,109444.45,109415.29,109440.0,11.83895,1295541.5238011,2663,5.23683,573095.208089,0
2025-11-01 00:06:00,109440.0,109440.0,109433.29,109433.29,1.02205,111849.8041684,572,0.70599,77260.8025448,0
2025-11-01 00:07:00,109433.29,109433.3,109419.81,109419.81,0.60111,65776.0660931,471,0.12005,13136.4075856,0
2025-11-01 00:08:00,109419.81,109433.3,109419.39,109419.39,1.34139,146778.977122,957,0.89585,98026.7604664,0
2025-11-01 00:09:00,109419.39,109439.51,109415.29,109439.51,2.48933,272407.0578544,1083,2.18474,239077.8048902,0
2025-11-01 00:10:00,109439.5,109493.83,109439.5,109493.83,5.18271,567390.3217338,2229,4.91212,537766.9075391,0
2025-11-01 00:11:00,109493.83,109493.83,109468.17,109468.17,7.11693,779179.9579526,1594,0.31684,34687.9873492,0
2025-11-01 00:12:00,109468.18,109468.18,109450.42,109450.42,1.42068,155504.512683,753,0.67956,74385.7309557,0
2025-11-01 00:13:00,109450.43,109471.45,109450.42,109471.45,4.19955,459654.2373899,574,3.85565,422011.9972199,0
2025-11-01 00:14:00,109471.45,109493.83,109471.44,109471.44,2.92911,320689.1627663,2124,1.38875,152041.8042974,0
2025-11-01 00:15:00,109471.44,109471.45,109449.55,109449.55,5.35712,586405.2294461,836,0.36816,40299.1509933,0
